t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
8994	bot-149	alpha	P00r-4310	tick	-11.36	-19.62	188	0.00	0.00		0	
9010	bot-202	alpha	P00m-0420	initial	22.55	-13.45	0	0.00			0	
9027	bot-186	bravo	C00r-4422	ammo	0.30	4.73	351	4.71	0.47	9.13	3	cover
9027	bot-202	alpha	P32m-4420	tier+score+ammo	22.55	-13.45	0	0.00	0.00		0	
9045	bot-202	alpha	A32m-4420	state	22.52	-13.42	356	2.46	0.04		6	patrol
9061	bot-191	bravo	A00r-3420	state	12.79	-16.44	84	1.31	0.08	0.56	1	seek
9077	bot-198	bravo	C00r-3420	state	9.50	-12.54	57	2.42	1.02	4.80	1	seek
9094	bot-116	alpha	P00m-2200	tick	-15.90	-16.26	355	0.00	1.40		0	
9094	bot-198	bravo	C00r-3422	latches	9.38	-12.60	66	4.34	0.14	6.50	2	cover
9094	bot-201	bravo	S00r-4410	tick	-7.24	6.04	136	3.71	0.36	5.51	1	grenade
9111	bot-193	bravo	S00r-4420	tick	0.81	4.08	316	2.13	2.07	25.63	3	seek
9111	bot-196	bravo	P00m-4420	tick	-7.20	2.43	181	2.31	2.16	4.24	1	squad
9144	bot-171	bravo	P00r-2320	tick	-1.90	3.66	242	2.44	0.57	0.88	1	squad
9194	bot-115	alpha	P00r-4320	tick	-10.27	-19.01	330	1.03	0.73		0	
9194	bot-181	bravo	P00r-2420	tick	-1.73	5.86	304	2.46	2.48	25.98	3	patrolReentry
9244	bot-140	alpha	P00r-4310	tick	-11.71	-16.44	345	0.00	0.23		0	
9244	bot-202	alpha	A00m-4420	tier+score	22.52	-13.42	311	0.00	0.00		0	
9461	bot-146	alpha	P00r-4310	tick	-10.44	-18.33	187	0.00	0.31		0	
9827	bot-202	alpha	F00m-4420	state	22.52	-13.42	253	0.00	0.00		0	
9844	bot-191	bravo	A00r-3320	health	12.80	-16.44	73	0.00	0.01		0	
9844	bot-198	bravo	C21r-3422	tier+score	6.46	-14.02	88	4.38	3.25	3.50	2	cover
9844	bot-202	alpha	A00m-4420	state	22.52	-13.42	253	0.00	0.00		0	
9977	bot-202	alpha	F00m-4420	state	22.52	-13.42	253	0.00	0.00		0	
9994	bot-191	bravo	E00r-3220	state+health	12.81	-16.44	73	0.00	0.00		0	
9994	bot-198	bravo	C32r-3422	tier+score	5.86	-14.31	87	4.50	0.67	2.95	2	cover
9994	bot-202	alpha	A00m-4420	state	22.52	-13.42	253	0.00	0.00		0	
10010	bot-137	alpha	P00r-4310	tick	-11.19	-17.81	121	0.11	0.02		0	
10010	bot-149	alpha	P00r-4310	tick	-11.36	-19.62	188	0.00	0.00		0	
10010	bot-191	bravo	E00r-3229	latches	12.77	-16.48	73	1.57	0.05	6.85	1	flee
10044	bot-186	bravo	C00r-4422	tick	1.50	9.10	47	4.49	4.54	4.70	2	cover
10044	bot-198	bravo	A32r-3420	state+latches	5.72	-14.37	87	4.52	0.15	2.83	2	cover
10094	bot-116	alpha	P00m-2200	tick	-15.90	-16.26	355	0.00	0.00		0	
10094	bot-201	bravo	S00r-4410	tick	-7.02	6.23	131	4.79	0.29	20.92	3	seek
10127	bot-193	bravo	S00r-4420	tick	-1.18	5.53	307	2.48	2.47	23.20	3	seek
10127	bot-196	bravo	P00m-4420	tick	-8.01	0.48	226	2.23	2.10	1.48	1	squad
10127	bot-202	alpha	F00m-4420	state	22.52	-13.42	252	0.00	0.00		0	
10145	bot-171	bravo	P00r-2320	tick	-3.86	4.54	307	2.48	2.14	0.55	1	squad
10145	bot-191	bravo	E00r-3129	health	12.63	-16.63	72	1.43	0.21	6.65	1	flee
10145	bot-198	bravo	A33r-3420	score	5.72	-14.37	87	0.00	0.00		0	
10145	bot-202	alpha	A00m-4420	state	22.52	-13.42	252	0.00	0.00		0	
10194	bot-115	alpha	P00r-4320	tick	-10.51	-18.71	8	0.56	0.39		0	
10194	bot-181	bravo	P00r-2420	tick	-3.63	7.39	335	2.44	2.45	23.54	3	patrolReentry
10210	bot-202	alpha	A00m-4320	health	22.52	-13.42	252	0.00	0.00		0	
10260	bot-140	alpha	P00r-4310	tick	-11.89	-16.42	324	0.00	0.18		0	
10277	bot-202	alpha	F00m-4320	state	22.51	-13.42	251	0.04	0.00		0	
10294	bot-191	bravo	E00r-3029	health	12.29	-16.99	71	4.79	0.50	6.15	1	flee
10294	bot-198	bravo	F34r-3420	state+score	5.72	-14.37	87	0.00	0.00		0	
10294	bot-202	alpha	E00m-4220	state+health	22.51	-13.42	251	0.00	0.00		0	
10310	bot-198	bravo	A34r-3420	state	5.72	-14.37	87	0.00	0.00		0	
