t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
526698	bot-977	bravo	A00r-4410	state	123.99	-42.20	291	4.86	0.40	31.85	4	seek	squad-98	0	bot-977	bot-980	43.18	f	0	29	120	0	20	101
526721	bot-968	alpha	A32r-4410	state	142.71	-0.95	127	4.76	1.32	42.06	6	seek	squad-1	1	bot-744			-	0	25	120	0	7	35
526721	bot-974	alpha	F00r-4410	state	123.48	3.99	179	0.00	0.02		0		squad-1	6	bot-744	bot-977	46.27	y	0	1	30	0	7	35
526721	bot-974	alpha	P00r-0410	state+ammo	123.48	3.99	179	0.00	0.00		0		squad-1	6	bot-744		46.27	y	0	0	30	0	7	35
526721	bot-977	bravo	D00r--000	state+ammo+health+packs	124.00	-42.20	295	0.00	0.01		0		squad-98	0	bot-977	bot-974	46.27	y	0	29	120	0	20	101
526721	bot-974	alpha	P00r-R410	ammo	123.48	3.99	179	0.00	0.00		0		squad-1	6	bot-744		46.27	y	0	0	30	0	7	35
526755	bot-933	alpha	D00r--000	tick	-129.08	8.74	29	0.00	0.00	0.59	0		squad-102	-1	bot-930	bot-955	9.94	y	0	14	120	0	20	101
526755	bot-962	alpha	P00r-4410	tick	80.11	-11.28	74	2.40	2.33	8.00	1	squad	squad-65	1	bot-918			-	0	30	120	0	7	35
526755	bot-964	alpha	P00m-4420	tick	71.70	-20.86	114	2.42	2.35	21.24	3	squad	squad-65	4	bot-918			-	0	20	101	0	7	35
526755	bot-966	alpha	P00r-4410	tick	75.49	-19.79	75	1.79	1.85	14.59	2	squad	squad-65	2	bot-918			-	0	30	120	0	7	35
526755	bot-968	alpha	S32r-4410	state	142.71	-0.95	133	0.12	0.00		0		squad-1	1	bot-744		45.30	y	0	25	120	0	7	35
526755	bot-974	alpha	C00r-R410	state	123.48	3.99	179	0.00	0.00		0		squad-1	6	bot-744		46.27	y	0	0	30	0	7	35
526784	bot-800	alpha	P00m-33A0	tick	110.51	40.66	113	2.53	2.34	3.83	1	packseek	squad-92	3	bot-814			-	0	11	84	0	7	35
526784	bot-814	alpha	P00r-4320	tick	119.66	43.77	87	2.38	2.42	25.65	4	patrolReentry	squad-92	0	bot-814			-	0	26	25	0	7	35
526784	bot-974	alpha	C00r-R412	latches	123.43	3.91	192	1.48	0.09	6.34	1	cover	squad-1	6	bot-744			-	0	0	30	0	7	35
526852	bot-935	alpha	P00r-4310	tick	-98.54	15.75	327	2.07	2.17	46.81	6	squad	squad-102	3	bot-930			-	0	1	27	0	20	101
526932	bot-967	bravo	P00r-2420	tick	-13.78	-16.46	83	2.40	2.40	7.71	1	squad	squad-87	2	bot-781			-	0	11	120	0	20	101
526932	bot-973	bravo	P00r-4420	tick	-11.88	-13.99	109	1.91	2.01	3.56	1	squad	squad-87	3	bot-781			-	0	1	4	0	30	120
526932	bot-975	bravo	P00r-4420	tick	-12.75	-17.22	34	2.40	2.36	3.87	1	squad	squad-87	4	bot-781			-	0	30	120	0	20	101
526962	bot-970	bravo	P00r-4410	tick	-17.87	-16.86	59	2.36	2.38	5.84	1	squad	squad-87	6	bot-781			-	0	1	30	0	7	35
526997	bot-963	bravo	P00m-23C0	tick	-17.28	-12.86	104	2.52	2.56	4.73	1	squad	squad-87	5	bot-781			-	0	8	101	0	7	35
526997	bot-965	bravo	P00r-4410	tick	-6.78	-13.80	57	2.39	2.30	4.69	2	squad	squad-87	1	bot-781			-	0	30	120	0	20	101
527028	bot-981	bravo	P00r-0410	initial	-39.75	-40.25	0	0.00			0			-1				-	0			0		
527028	bot-982	alpha	P00r-0410	initial	115.75	45.25	0	0.00			0			-1				-	0			0		
527044	bot-981	bravo	P00r-4410	ammo	-39.75	-40.25	0	0.00	0.00		0		squad-98	0				-	0	30	120	0	20	101
527044	bot-982	alpha	P00r-4410	ammo	115.75	45.25	0	0.00	0.00		0		squad-92	3	bot-814			-	0	30	120	0	7	35
527123	bot-808	bravo	P00r-2420	tick	-138.75	41.56	325	2.12	2.35		2	patrol	squad-83	0	bot-808			-	0	14	120	0	7	35
527123	bot-954	alpha	P00r-4410	tick	79.05	-10.02	70	2.41	2.48	7.75	1	squad	squad-65	3	bot-918			-	0	1	30	0	7	35
527152	bot-930	alpha	P00m-2330	tick	-139.51	40.99	359	2.21	2.04	7.71	1	patrolReentry	squad-102	0	bot-930			-	0	10	101	0	7	35
527152	bot-931	alpha	P00r-2410	tick	-138.23	36.25	309	1.97	2.16	3.42	1	squad	squad-102	1	bot-930			-	0	14	120	0	20	101
527278	bot-918	alpha	P00r-4410	tick	91.74	-9.19	50	2.21	2.31		9	patrol	squad-65	0	bot-918			-	0	30	120	0	7	35
527278	bot-922	alpha	P00r-4420	tick	107.07	40.13	63	2.49	2.40	11.70	2	squad	squad-92	1	bot-814			-	0	28	120	0	7	35
527278	bot-956	alpha	P00m-4420	tick	28.89	18.99	77	0.07	0.13	94.51	13	squad	squad-92	6	bot-814			-	0	20	101	0	7	35
527278	bot-971	bravo	P00m-4430	tick	-18.81	-10.79	68	2.49	2.44	9.67	2	squad	squad-87	7	bot-781			-	0	20	101	0	7	35
527430	bot-969	alpha	S32r-4410	tick	137.42	-2.82	199	2.40	3.70	42.24	7	seek	squad-1	2	bot-744			-	0	24	120	0	20	101
527430	bot-972	alpha	S32m-2420	tick	140.00	-2.83	192	2.39	3.77	39.78	7	seek	squad-1	5	bot-744			-	0	8	101	0	7	35
527430	bot-976	alpha	C32r-4412	tick	138.50	-3.00	181	4.57	4.75	2.58	1	cover	squad-1	3	bot-744			-	0	1	3	0	30	120
527430	bot-978	alpha	S32r-4410	tick	144.27	-3.80	206	2.44	3.43	45.13	6	seek	squad-1	4	bot-744			-	0	25	120	0	7	35
527430	bot-980	alpha	S32m-4320	tick	145.58	-7.74	212	2.14	3.57	43.75	5	seek	squad-1	7	bot-744			-	0	20	101	0	7	35
527454	bot-744	alpha	C32r-4422	tick	143.12	-4.39	263	4.62	4.53	3.38	1	cover	squad-1	0	bot-744			-	0	30	120	0	7	35
527471	bot-781	bravo	P00r-4420	tick	0.06	-19.19	101	2.40	2.34	147.63	19	patrolReentry	squad-87	0	bot-781			-	0	27	120	0	20	101
527536	bot-932	alpha	P00r-4320	tick	-129.89	34.29	295	2.40	2.36	11.02	2	squad	squad-102	2	bot-930			-	0	30	97	0	7	35
527536	bot-974	alpha	S00r-R410	state+latches	121.85	1.65	216	4.38	2.76	3.58	1	cover	squad-1	6	bot-744			-	0	0	30	0	7	35
527694	bot-859	alpha	P00r-4320	tick	106.51	40.52	68	2.50	2.33	3.57	1	squad	squad-92	5	bot-814			-	0	1	25	0	19	101
527694	bot-958	alpha	P00r-4320	tick	115.11	42.25	62	2.43	2.44	1.25	1	squad	squad-92	2	bot-814			-	0	1	3	0	30	120
527760	bot-962	alpha	P00r-4410	tick	82.29	-10.25	45	2.40	2.41	7.61	1	squad	squad-65	1	bot-918			-	0	30	120	0	7	35
527760	bot-964	alpha	P00m-4420	tick	73.86	-20.26	65	1.96	2.24	21.76	3	squad	squad-65	4	bot-918			-	0	20	101	0	7	35
