t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
111884	bot-26	alpha	H32r-4210	score	-8.34	-30.43	51	0.00	0.00		0		squad-7	0	bot-26	bot-18	53.46	r
111884	bot-30	alpha	T32m-3420	score	-8.11	-29.67	70	0.00	0.00	0.80	1	medic	squad-7	4	bot-26	bot-16	28.18	w
111884	bot-32	alpha	S32r-2410	score	-0.47	-29.89	358	2.28	1.36	31.67	11	seek	squad-7	1	bot-26	bot-16	28.33	w
111884	bot-35	alpha	S32r-4410	score	-4.19	-28.27	301	2.38	0.52	32.48	9	seek	squad-7	2	bot-26	bot-16	26.36	w
111884	bot-41	alpha	S32m-4420	score	-14.44	-22.34	328	2.11	1.51	46.91	12	seek	squad-7	5	bot-26	bot-18	51.71	r
111917	bot-30	alpha	T32m-3410	packs	-8.11	-29.67	62	0.00	0.00	0.80	1	medic	squad-7	4	bot-26	bot-16	28.18	w
111934	bot-16	bravo	H35m-412G	latches	-2.94	-2.72	87	0.00	0.00		0		squad-2	2	bot-18	bot-21	12.71	w
111934	bot-21	alpha	A00r-432G	latches	9.04	0.67	254	0.00	0.00		0		squad-1	1	bot-19	bot-16	12.71	w
111934	bot-40	bravo	P00r-4410	tick	33.83	-28.73	200	2.30	2.35		1	patrol	squad-9	0	bot-40			-
111934	bot-42	bravo	P00r-4410	tick	32.13	-27.04	86	1.79	2.24	2.38	1	squad	squad-9	1	bot-40			-
112084	bot-26	alpha	H32r-4310	health	-8.34	-30.43	35	0.00	0.00		0		squad-7	0	bot-26	bot-18	53.78	r
112118	bot-26	alpha	H00r-4310	tier+score	-8.34	-30.43	33	0.00	0.00		0		squad-7	0	bot-26	bot-18	53.74	r
112118	bot-30	alpha	T00m-3410	tier+score	-8.11	-29.67	10	0.00	0.00	0.80	1	medic	squad-7	4	bot-26	bot-16	28.18	w
