t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id
217404	bot-261	alpha	S00r-4320	state+latches	15.97	-9.88	304	0.00	0.00		0		squad-26	3	bot-196
217404	bot-266	bravo	S10m-3320	state+latches	-4.15	3.76	118	0.00	0.01		0		squad-97	0	bot-266
217504	bot-234	bravo	S00r-4410	tick	-18.28	-18.64	278	1.14	0.06	1.32	1	seek	squad-27	0	bot-234
217588	bot-252	alpha	S00r-3310	tick	0.06	3.70	273	0.15	0.01	6.52	2	seek	squad-26	2	bot-196
217588	bot-269	bravo	C00r-4310	state	-22.07	7.44	173	2.69	0.63	21.55	8	seek	squad-97	1	bot-266
217605	bot-269	bravo	C00r-4312	latches	-22.03	7.49	174	1.37	0.07	1.08	1	cover	squad-97	1	bot-266
217638	bot-266	bravo	A10m-3320	state	-3.94	3.67	124	0.87	0.22	24.19	4	seek	squad-97	0	bot-266
217638	bot-269	bravo	C00r-431I	latches	-21.96	7.51	170	2.18	0.07	1.01	1	cover	squad-97	1	bot-266
217655	bot-261	alpha	F00r-4320	state	15.76	-9.75	304	1.55	0.25	23.77	4	seek	squad-26	3	bot-196
217655	bot-267	alpha	C00r-4412	tick	-16.17	-6.70	143	3.91	4.07	3.93	2	cover	squad-101	0	bot-267
217672	bot-261	alpha	P00r-4320	state	15.76	-9.75	304	1.00	0.00		1	muzzleRecovery	squad-26	3	bot-196
217688	bot-261	alpha	A00r-4320	state	15.74	-9.74	301	0.00	0.02		0	muzzleRecovery	squad-26	3	bot-196
217755	bot-240	bravo	K00m-04C0	tick	16.07	-8.75	199	0.00	0.30		0		squad-27	4	bot-234
217755	bot-266	bravo	A10m-332G	latches	-3.95	3.67	124	0.00	0.00		0		squad-97	0	bot-266
217772	bot-261	alpha	A00r-432G	latches	15.74	-9.74	304	0.00	0.00		0		squad-26	3	bot-196
217856	bot-238	bravo	S00r-4420	tick	-15.63	-18.72	310	0.05	0.01	0.41	1	seek	squad-27	2	bot-234
217856	bot-250	alpha	C00r-2322	tick	0.03	1.75	312	0.00	0.01		0		squad-26	1	bot-196
217872	bot-269	bravo	G00r-4312	state+latches	-21.36	7.54	114	2.79	0.60	0.41	1	cover	squad-97	1	bot-266
217956	bot-264	alpha	S00r-4410	tick	6.80	9.22	262	0.44	0.11	26.01	10	seek	squad-26	4	bot-196
217989	bot-266	bravo	S10m-3320	state+latches	-3.95	3.67	124	0.00	0.00		0		squad-97	0	bot-266
218006	bot-261	alpha	S00r-4320	state+latches	15.74	-9.74	304	0.00	0.00		0		squad-26	3	bot-196
218073	bot-266	bravo	A10m-3320	state	-3.88	3.64	112	0.98	0.08	23.71	4	seek	squad-97	0	bot-266
218090	bot-261	alpha	F00r-4320	state	15.67	-9.71	304	0.83	0.08	23.68	4	seek	squad-26	3	bot-196
218107	bot-261	alpha	A00r-4320	state	15.67	-9.71	304	0.00	0.00		0		squad-26	3	bot-196
218123	bot-261	alpha	A00r-432G	latches	15.68	-9.70	304	0.32	0.00		0		squad-26	3	bot-196
218123	bot-266	bravo	A10m-332G	latches	-3.88	3.64	122	0.05	0.00		0		squad-97	0	bot-266
218157	bot-247	bravo	S00m-4320	tick	-18.51	-19.87	345	0.54	0.01	1.42	1	seek	squad-27	5	bot-234
218173	bot-268	alpha	G00m-4322	tick	-19.74	-14.50	184	0.00	0.75		0		squad-101	1	bot-267
218257	bot-236	bravo	S00r-4410	tick	-17.33	-19.74	305	0.52	0.06	1.37	1	seek	squad-27	1	bot-234
218257	bot-268	alpha	S00m-4320	state+latches	-19.74	-14.50	179	0.00	0.00		0		squad-101	1	bot-267
218274	bot-164	bravo	D00r--000	tick	-19.85	-22.73	349	0.00	0.00	4.72	0		squad-27	-1	bot-234
218274	bot-244	bravo	S00r-4410	tick	-18.76	-19.32	43	0.19	0.04	1.19	1	seek	squad-27	3	bot-234
218307	bot-196	alpha	P00m-3320	tick	6.44	5.72	279	0.54	0.82		0		squad-26	0	bot-196
218341	bot-237	alpha	C00r-3412	tick	0.39	2.53	284	0.00	0.00		0		squad-26	5	bot-196
218358	bot-261	alpha	S00r-4320	state+latches	15.68	-9.70	304	0.00	0.00		0		squad-26	3	bot-196
218358	bot-266	bravo	A10m-3320	latches	-3.88	3.64	124	0.00	0.00		0		squad-97	0	bot-266
218374	bot-261	alpha	A00r-4320	state	15.67	-9.70	301	0.85	0.01	23.67	4	seek	squad-26	3	bot-196
218391	bot-261	alpha	F00r-4320	state	15.67	-9.70	304	0.00	0.00		0		squad-26	3	bot-196
218391	bot-266	bravo	E10m-3220	state+health	-3.88	3.64	124	0.00	0.00		0		squad-97	0	bot-266
218408	bot-261	alpha	A00r-4320	state	15.67	-9.70	304	0.00	0.00		0		squad-26	3	bot-196
218408	bot-266	bravo	E10m-322P	latches	-3.93	3.60	124	1.73	0.06	6.15	1	flee	squad-97	0	bot-266
218424	bot-250	alpha	S00r-2320	state+latches	0.03	1.74	312	0.01	0.01		0		squad-26	1	bot-196
218424	bot-261	alpha	A00r-432G	latches	15.67	-9.69	304	0.09	0.01		0		squad-26	3	bot-196
218474	bot-244	bravo	E00r-4410	state	-18.77	-19.32	43	0.20	0.00	1.19	1	seek	squad-27	3	bot-234
218491	bot-244	bravo	E00r-4411	latches	-18.69	-19.42	35	4.64	0.12	3.42	1	flee	squad-27	3	bot-234
218508	bot-234	bravo	S00r-4410	tick	-18.28	-18.66	191	0.66	0.03	1.30	1	seek	squad-27	0	bot-234
218508	bot-244	bravo	E00r-441H	latches	-18.64	-19.43	35	4.64	0.05	3.37	1	flee	squad-27	3	bot-234
218592	bot-252	alpha	S00r-3310	tick	0.06	3.70	270	0.12	0.00	6.52	2	seek	squad-26	2	bot-196
218608	bot-268	alpha	C00m-4320	state	-19.94	-15.33	194	2.40	0.85	6.31	1	seek	squad-101	1	bot-267
218625	bot-268	alpha	C00m-4322	latches	-19.94	-15.17	185	4.57	0.15	1.32	2	cover	squad-101	1	bot-267
218642	bot-266	bravo	E00m-3229	tier+latches	-4.37	3.30	124	5.24	0.54	5.61	1	flee	squad-97	0	bot-266
218658	bot-261	alpha	S00r-4320	state+latches	15.67	-9.69	304	0.00	0.00		0		squad-26	3	bot-196
218658	bot-267	alpha	C00r-4412	tick	-15.07	-8.31	136	1.97	1.95	2.22	2	cover	squad-101	0	bot-267
218692	bot-268	alpha	C00m-432I	latches	-19.94	-14.88	168	4.41	0.30	1.05	2	cover	squad-101	1	bot-267
218742	bot-244	bravo	E00r-4411	latches	-18.57	-20.00	35	4.66	0.57	3.00	1	flee	squad-27	3	bot-234
218759	bot-240	bravo	K00m-04C0	tick	16.07	-8.75	208	0.00	0.00		0		squad-27	4	bot-234
